track,box,filename,hz
INTELLIVUE/ST_III,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ART_MEAN,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ART_SYS,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/ART_DIA,box10,tvpir4b4i_250605_081407.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/PLETH_HR,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ECG_HR,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/RR,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_I,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_II,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_III,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_AVR,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_AVL,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_AVF,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_V,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ST_MCL,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/NIBP_SYS,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/NIBP_DIA,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/NIBP_MEAN,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/NIBP_HR,box11,82ae49zrf_250526_091952.vital,1.0
INTELLIVUE/ECG_II,box11,82ae49zrf_250526_091952.vital,500.0
INTELLIVUE/PLETH,box11,82ae49zrf_250526_091952.vital,125.0
INTELLIVUE/RESP,box11,82ae49zrf_250526_091952.vital,62.5
INTELLIVUE/ECG_III,box11,82ae49zrf_250526_091952.vital,500.0
INTELLIVUE/PLETH_SAT_O2,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/PLETH_HR,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ECG_HR,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_I,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_II,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_III,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_AVR,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_AVL,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_AVF,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_V,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ST_MCL,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/NIBP_SYS,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/NIBP_DIA,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/NIBP_MEAN,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/NIBP_HR,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/ECG_II,box11,82ae49zrf_241209_115451.vital,500.0
INTELLIVUE/PLETH,box11,82ae49zrf_241209_115451.vital,125.0
INTELLIVUE/RESP,box11,82ae49zrf_241209_115451.vital,62.5
INTELLIVUE/ECG_III,box11,82ae49zrf_241209_115451.vital,500.0
INTELLIVUE/RR,box11,82ae49zrf_241209_115451.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/PLETH_HR,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ECG_HR,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/RR,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_I,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_II,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_AVR,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_AVL,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_AVF,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_V,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ST_MCL,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ECG_II,box11,82ae49zrf_250627_085656.vital,500.0
INTELLIVUE/PLETH,box11,82ae49zrf_250627_085656.vital,125.0
INTELLIVUE/CO2,box11,82ae49zrf_250627_085656.vital,62.5
INTELLIVUE/RESP,box11,82ae49zrf_250627_085656.vital,62.5
INTELLIVUE/ST_III,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/ECG_III,box11,82ae49zrf_250627_085656.vital,500.0
INTELLIVUE/NIBP_SYS,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/NIBP_DIA,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/NIBP_MEAN,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/NIBP_HR,box11,82ae49zrf_250627_085656.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/PLETH_HR,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ECG_HR,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/RR,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_I,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_II,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_III,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_AVR,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_AVL,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_AVF,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_V,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ST_MCL,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/NIBP_SYS,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/NIBP_DIA,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/NIBP_MEAN,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/NIBP_HR,box11,82ae49zrf_241209_164209.vital,1.0
INTELLIVUE/ECG_II,box11,82ae49zrf_241209_164209.vital,500.0
INTELLIVUE/PLETH,box11,82ae49zrf_241209_164209.vital,125.0
INTELLIVUE/RESP,box11,82ae49zrf_241209_164209.vital,62.5
